data,mm,uf
2015-09-02,-9999.0,PA
2015-09-02,-9999.0,PA
2015-09-02,-9999.0,PA
2015-09-02,-9999.0,PA
2015-09-02,-9999.0,PA
2015-09-02,-9999.0,PA
2015-09-02,-9999.0,PA
2015-09-02,-9999.0,PA
2015-09-02,-9999.0,PA
2015-09-02,-9999.0,PA
2015-09-02,-9999.0,PA
2015-09-02,-9999.0,PA
2015-09-02,-9999.0,PA
2015-09-02,-9999.0,PA
2015-09-02,-9999.0,PA
2015-09-02,-9999.0,PA
2015-09-02,-9999.0,PA
2015-09-02,-9999.0,PA
2015-09-02,-9999.0,PA
2015-09-02,-9999.0,PA
2015-09-02,-9999.0,PA
2015-09-02,-9999.0,PA
2015-09-02,-9999.0,PA
2015-09-03,-9999.0,PA
2015-09-03,-9999.0,PA
2015-09-03,-9999.0,PA
2015-09-03,-9999.0,PA
2015-09-03,-9999.0,PA
2015-09-03,-9999.0,PA
2015-09-03,-9999.0,PA
2015-09-03,-9999.0,PA
2015-09-03,-9999.0,PA